ClinicianEnrollmentID,CCN1,CCN2,LBN1,LBN2
10224738,,,,
10224739,,,,
11646166,,,,
10224740,,,,
10224741,,,,
10224742,,,,
10224743,400115.0,,CENTRO MEDICO WILMA N VAZQUEZ,
10224744,,,,
10224745,,,,
11645836,,,,
10224746,,,,
10224749,,,,
10224750,180132.0,181330.0,LAKE CUMBERLAND REGIONAL HOSPITAL,RUSSELL COUNTY HOSPITAL
10224751,230059.0,230038.0,MERCY HEALTH SAINT MARY'S,SPECTRUM HEALTH
10224752,,,,
10224753,,,,
10224754,310073.0,310108.0,JERSEY SHORE UNIVERSITY MEDICAL CENTER,JFK MEDICAL CENTER
10224756,400021.0,400126.0,HOSPITAL DE LA CONCEPCION,HOSPITAL METROPOLITANO SAN GERMAN
10224757,230020.0,230024.0,BEAUMONT HOSPITAL - DEARBORN,SINAI-GRACE HOSPITAL
10224758,,,,
10224759,,,,
10224761,,,,
10224762,,,,
10224763,250082.0,,DELTA REGIONAL MEDICAL CENTER,
10224764,,,,
10224765,,,,
10224766,,,,
10224767,100007.0,,ADVENTHEALTH ORLANDO,
10224768,360155.0,,SOUTHWEST GENERAL HEALTH CENTER,
10224769,10029.0,10175.0,EAST ALABAMA MEDICAL CENTER AND SNF,
10224770,,,,
10224772,,,,
10224773,330169.0,330259.0,MOUNT SINAI BETH ISRAEL,MERCY MEDICAL CENTER
10224775,,,,
10224776,330195.0,,LONG ISLAND JEWISH MEDICAL CENTER,
10224778,,,,
10224779,100168.0,,BOCA RATON REGIONAL HOSPITAL,
10224780,490013.0,490118.0,SENTARA HALIFAX REGIONAL HOSPITAL,HENRICO DOCTORS' HOSPITAL
10224781,50022.0,,RIVERSIDE COMMUNITY HOSPITAL,
10224782,,,,
10224783,50526.0,50224.0,HUNTINGTON BEACH HOSPITAL,HOAG MEMORIAL HOSPITAL PRESBYTERIAN
10224784,,,,
10224786,,,,
10224787,,,,
10224788,,,,
10224789,,,,
10224790,,,,
10224791,,,,
10224792,,,,
10224794,,,,
10224795,,,,
10224797,110153.0,110069.0,PERRY HOSPITAL,HOUSTON MEDICAL CENTER
10224800,,,,
10224801,,,,
11645527,,,,
10224802,360131.0,360070.0,ALLIANCE COMMUNITY HOSPITAL,MERCY MEDICAL CENTER
10224803,,,,
10224805,,,,
10224806,,,,
10224807,380004.0,380029.0,PROVIDENCE ST VINCENT MEDICAL CENTER,LEGACY SILVERTON MEDICAL CENTER
10224809,40071.0,,JEFFERSON REGIONAL MEDICAL CENTER,
10224810,60064.0,60065.0,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,NORTH SUBURBAN MEDICAL CENTER
10224811,,,,
10224812,,,,
10224813,330141.0,330286.0,LONG ISLAND COMMUNITY HOSPITAL,GOOD SAMARITAN HOSPITAL MEDICAL CENTER
10224814,,,,
10224815,50169.0,50589.0,PIH HEALTH HOSPITAL-WHITTIER,PLACENTIA LINDA HOSPITAL
10224816,,,,
10224819,,,,
10224820,,,,
10224821,,,,
10224822,310028.0,310015.0,NEWTON MEDICAL CENTER,MORRISTOWN MEDICAL CENTER
10224823,,,,
10224825,,,,
10224826,310086.0,,JEFFERSON STRATFORD HOSPITAL,
10224829,,,,
10224830,30065.0,30083.0,BANNER DESERT MEDICAL CENTER,ABRAZO SCOTTSDALE CAMPUS
10224831,500064.0,,HARBORVIEW MEDICAL CENTER,
10224832,330185.0,,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,
10224834,,,,
10224835,,,,
10224836,,,,
10224837,,,,
10224840,230197.0,230132.0,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,HURLEY MEDICAL CENTER
11034701,50234.0,50222.0,SHARP CORONADO HOSPITAL AND HLTHCR CTR,SHARP CHULA VISTA MEDICAL CENTER
10224841,,,,
10224843,100007.0,100110.0,ADVENTHEALTH ORLANDO,OSCEOLA REGIONAL MEDICAL CENTER
10224845,,,,
10224846,220116.0,,TUFTS MEDICAL CENTER,
10224847,,,,
12014684,,,,
10224848,50231.0,,POMONA VALLEY HOSPITAL MEDICAL CENTER,
10224849,50179.0,50557.0,EMANUEL MEDICAL CENTER,MEMORIAL MEDICAL CENTER
10224850,,,,
10224851,,,,
10224852,,,,
10224853,,,,
10224854,,,,
10224855,,,,
10224857,,,,
10224858,,,,
10224860,,,,
10224861,310115.0,310111.0,HACKETTSTOWN MEDICAL CENTER,CENTRASTATE MEDICAL CENTER
10224862,330047.0,,ST MARY'S HEALTHCARE,
10224863,,,,
10224864,,,,
10224865,50457.0,,ST MARY'S MEDICAL CENTER,
10224867,,,,
10224868,150084.0,,ASCENSION ST VINCENT HOSPITAL,
10224869,,,,
10224870,,,,
10224872,,,,
10224873,70010.0,,BRIDGEPORT HOSPITAL,
10224874,,,,
10224875,50152.0,,SAINT FRANCIS MEMORIAL HOSPITAL,
10224876,330261.0,,PHELPS MEMORIAL HOSPITAL CENTER,
10224877,,,,
10224878,490037.0,450670.0,RIVERSIDE SHORE MEMORIAL HOSPITAL,HCA HOUSTON HEALTHCARE TOMBALL
10224879,150034.0,150015.0,ST MARY MEDICAL CENTER INC,FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY
10224880,,,,
10224881,180088.0,150044.0,"NORTON HOSPITALS, INC",BAPTIST HEALTH FLOYD
10224882,220077.0,220030.0,BAYSTATE MEDICAL CENTER,BAYSTATE WING HOSPITAL
10224883,,,,
10224886,260065.0,,MERCY HOSPITAL SPRINGFIELD,
10224888,,,,
10224889,,,,
10224890,,,,
10224891,,,,
10224893,530002.0,,CAMPBELL COUNTY HEALTH,
10224895,,,,
10224899,,,,
10224900,,,,
10224901,,,,
10224902,,,,
10224903,,,,
10224904,70025.0,,HARTFORD HOSPITAL,
10224905,,,,
10224906,,,,
10224907,,,,
10224908,50549.0,50236.0,LOS ROBLES HOSPITAL & MEDICAL CENTER,ADVENTIST HEALTH SIMI VALLEY
10224909,,,,
10224910,,,,
10224911,,,,
10224912,,,,
10224913,,,,
10224914,,,,
10224915,,,,
10224916,200020.0,,YORK HOSPITAL,
10224917,330231.0,,QUEENS HOSPITAL CENTER,
10224918,,,,
10224919,,,,
10224922,450462.0,,TEXAS HEALTH PRESBYTERIAN HOSPITAL DALLAS,
10224923,,,,
10224924,,,,
10224925,450324.0,450634.0,TEXOMA MEDICAL CENTER,MEDICAL CITY DENTON
10224926,,,,
10224927,,,,
10224928,,,,
11645648,,,,
10025508,,,,
10224929,,,,
10224930,180088.0,150044.0,"NORTON HOSPITALS, INC",BAPTIST HEALTH FLOYD
10224931,,,,
10224932,,,,
10224933,,,,
10224934,,,,
10224936,110111.0,,UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER,
10224937,,,,
10224938,,,,
10224939,,,,
10224940,360145.0,360172.0,UNIVERSITY HOSPITALS - ELYRIA MEDICAL CENTER,MERCY REGIONAL MEDICAL CENTER
10224941,110105.0,,COLQUITT REGIONAL MEDICAL CENTER,
10224942,,,,
10224943,110168.0,,REDMOND REGIONAL MEDICAL CENTER,
10224944,,,,
10224945,,,,
10224946,,,,
10224948,310051.0,,OVERLOOK MEDICAL CENTER,
10224950,490122.0,,INOVA MOUNT VERNON HOSPITAL,
10224951,,,,
10224952,,,,
10224953,50663.0,50763.0,LOS ANGELES COMMUNITY HOSPITAL,"L A DOWNTOWN MEDICAL CENTER, LLC"
